六(4-羧苯基)苯Hexakis(4-?carboxyphenyl)?benzene,/83536-16-7分子式：C48H30O12分子量：798.7446,/83536-16-7分子式：C48H30O12分子量：798.7446,83536-16-7
"六(苯甲酸乙炔基)-苯4,?4',?4'',?4''',?4'''',?4'''''-?(1,?2,?3,?4,?5,?6-?benzenehexaylhexa-?2,?1-?ethynediyl)?hexakis-Benzoic acid",/684216-81-7分子式：C60H30O12分子量：942.873,/684216-81-7分子式：C60H30O12分子量：942.873,684216-81-7
"1,2,3,4,5,6-六(4″-羧基 联苯基)苯[1,1':4',1'':2'',1''':4''',1''''-Quinquephenyl]-4,4''''-dicarboxylic acid, 3'',4'',5'',6''-tetrakis(4'-carboxy[1,1'-biphenyl]-4-yl)-",/1374404-53-1分子式：C84H54O12分子量：1255.32036,/1374404-53-1分子式：C84H54O12分子量：1255.32036,1374404-53-1
"1,4,6-三甲基苯-1,3,5-三甲苯基间苯二甲酸酯2,?4,?6-?tri-?Me benzene-?1,?3,?5-?triyl-?isophthalate",/1374764-27-8分子式：C33H24O12分子量：612.53646,/1374764-27-8分子式：C33H24O12分子量：612.53646,1374764-27-8
"5,5',5''-(((2,4,6-trimethylbenzene-1,3,5-5,5',5''-(((2,4,6-trimethylbenzene-1,3,5-triyl)tris(methylene))tris(oxy))triisophthalicacid1,?3-?Benzenedicarboxylicacid,5,?5',?5''-?[(2,?4,?6-?trimethyl-?1,?3,?5-?benzenetriyl)?tris(methyleneoxy)?]?tris-",/1159974-70-5分子式：C36H30O15分子量：702.61,/1159974-70-5分子式：C36H30O15分子量：702.61,1159974-70-5
"1,3,6,8-四(3',5'-二羧基 苯基)芘5,5',5'',5'''-(1,3,6,8-pyrenetetrayl)tetrakis-1,3-Benzenedicarboxylic acid",/1569900-72-6分子式：C48H26O16分子量：858.71044,/1569900-72-6分子式：C48H26O16分子量：858.71044,1569900-72-6
"4,4’,4’’,4’’’,4’’’’,4’’’’’-(9,10-二氢-9,10-[1,2]苯并蒽-2,3,6,7,14,15-己基)六苯甲酸4,4',4'',4''',4'''',4'''''-(9,10-Dihydro-9,10-[1,2]Benzenoanthracene-2,3,6,7,14,15-Hexayl)Hexabenzoic Acid",/1835723-11-9分子式：C62H38O12分子量：974.95792,/1835723-11-9分子式：C62H38O12分子量：974.95792,1835723-11-9
"5,5',5'-(甲基硅烷基)三间苯二甲酸5,5',5''-(methylsilylidyne)tris-1,3-Benzenedicarboxylic acid",/2066572-56-1分子式：C25H18O12Si分子量：538.48872,/2066572-56-1分子式：C25H18O12Si分子量：538.48872,2066572-56-1
"5,5'、'5'、'5'、'5'-四甲基硅-1,3-苯二甲酸5,?5',?5'',?5'''-?silanetetrayltetraisophthalic",/1412999-57-5分子式：C32H20O16Si分子量：688.5771,/1412999-57-5分子式：C32H20O16Si分子量：688.5771,1412999-57-5
"四-(3,5-二羰基苯氧基)甲基]甲烷tetrakis[(3,?5-?dicairboxyphenoxy)?methyl]?methane",/1315269-33-0分子式：C37H28O20分子量：792.60622,/1315269-33-0分子式：C37H28O20分子量：792.60622,1315269-33-0
"4,4'-[2-[3-(4-甲氧基苯氧基)-.2,2-双[(4-甲氧基苯氧基)甲基]-丙氧基]甲基]-2-(4-甲氧基)甲基]-1,3-丙二基]双(氧基)双-苯甲酸hexakis[4-?(carboxyphenyl)?oxamethyl]?-?3-?oxapentane",/1359740-26-3分子式：C52H46O19分子量：974.91024,/1359740-26-3分子式：C52H46O19分子量：974.91024,1359740-26-3
"四[4-(3,5-二羧基苯基)]四苯基乙烯4'-[1,2,2-tris(3',5'-dicarboxy[1,1'-biphenyl]-4-yl)ethenyl]-[1,1'-Biphenyl]-3,5-dicarboxylic acid",/1420471-57-3分子式：C58H36O16分子量：988.89684,/1420471-57-3分子式：C58H36O16分子量：988.89684,1420471-57-3
"2,4,6-三(3,5-二羧基苯基氨基)-1,3,5-三嗪5,5',5''-(1,3,5-triazine-2,4,6-triyl)tris(azanediyl)triisophthalic acid",/776242-98-9分子式：C27H18N6O12分子量：618.46482,/776242-98-9分子式：C27H18N6O12分子量：618.46482,776242-98-9
"4',4''',4'''''-腈基三((1,1’-联苯)-3,5-二羧酸)4',4''',4'''''-nitrilotris(([1,1'-biphenyl]-3,5-dicarboxylic acid))",/1347748-59-7分子式：C42H27NO12分子量：737.66328,/1347748-59-7分子式：C42H27NO12分子量：737.66328,1347748-59-7
"三(4,4-二羧基联吡啶)氯化钌Tris(4,4'-dicarboxylicacid-2,2'-bipyridyl)rutheniuM(II) dichloride",/97333-46-5分子式：2[C12H8N2O4].C12H6N2O4-2.Ru+2.2[HCl]分子量：904.58476,/97333-46-5分子式：2[C12H8N2O4].C12H6N2O4-2.Ru+2.2[HCl]分子量：904.58476,97333-46-5
"1,2,3-(三羧基偶氮苯)苯1,2,3-tricarboxyazophenyl)benzene",/1236108-27-2分子式：C18H10N2O12分子量：446.2782,/1236108-27-2分子式：C18H10N2O12分子量：446.2782,1236108-27-2
"3,3',4,4'-联苯四甲酸3,3',4,4'-Biphenyltetracarboxylic acid",/22803-05-0分子式：C16H10O8分子量：330.2458,/22803-05-0分子式：C16H10O8分子量：330.2458,22803-05-0
"[1,1':4',1''-三联苯]-2,2'',4,4''-四羧酸[1,1':4',1''-Terphenyl]-2,2'',4,4''-tetracarboxylic acid",/1580004-08-5分子式：C22H14O8分子量：406.34176,/1580004-08-5分子式：C22H14O8分子量：406.34176,1580004-08-5
"(1,1':4',1''-terphenyl)-2',4,4'',5'-tetracarboxylic acid(1,1':4',1''-terphenyl)-2',4,4'',5'-tetracarboxylic acid",/115101-93-4分子式：C18H16N2O2分子量：292.33184,/115101-93-4分子式：C18H16N2O2分子量：292.33184,115101-93-4
"[1,1':3',1''-三联苯]-3,3'',5,5''-四羧酸[1,1':3',1''-Terphenyl]-3,3'',5,5''-tetracarboxylic acid",/1433189-27-5分子式：C22H14O8分子量：406.34176,/1433189-27-5分子式：C22H14O8分子量：406.34176,1433189-27-5
"5'-甲基-[1,1':3',1''-三苯基]-3,3',5,5''-四羧酸5'-methyl-[1,1':3',1''-Terphenyl]-3,3'',5,5''-tetracarboxylic acid",/1433189-28-6分子式：C23H16O8分子量：420.36834,/1433189-28-6分子式：C23H16O8分子量：420.36834,1433189-28-6
"2′-amino-5′-methyl-[1,1′:3′,1″-terphenyl]-3,3″,5,5″-tetracarboxylic Acid2′-amino-5′-methyl-[1,1′:3′,1″-terphenyl]-3,3″,5,5″-tetracarboxylic Acid",/2260979-74-4分子式：C23H17NO8分子量：435.38298,/2260979-74-4分子式：C23H17NO8分子量：435.38298,2260979-74-4
"5'-硝基-[1,1'：3'，1''-三苯基]-3,3''，5,5'-四羧酸5'-nitro-[1,1':3',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid",/2235382-00-8分子式：C22H13NO10分子量：451.33932,/2235382-00-8分子式：C22H13NO10分子量：451.33932,2235382-00-8
"[1,?1':3',?1''-?Terphenyl]?-?3,?4'',?5-?tricarboxylic acid, 5'-?(4-?carboxyphenyl)?-[1,?1':3',?1''-?Terphenyl]?-?3,?4'',?5-?tricarboxylic acid, 5'-?(4-?carboxyphenyl)?-",/1250980-04-1分子式：C28H18O8分子量：482.43772,/1250980-04-1分子式：C28H18O8分子量：482.43772,1250980-04-1
"3,3',5,5'-联苯四甲酸Biphenyl-3,3',5,5'-tetracarboxylic acid",/4371-28-2分子式：C16H10O8分子量：330.2458,/4371-28-2分子式：C16H10O8分子量：330.2458,4371-28-2
"联苯-3,3',5,5'-四-(苯基-4-羧酸)(biphenyl-3, 3′,5, 5′-tetra-(phenyl-4-carboxylic acid))",/1383925-31-2分子式：C40H26O8分子量：634.62964,/1383925-31-2分子式：C40H26O8分子量：634.62964,1383925-31-2
"4'',6'-二氨基-5',5''-双(4-羧苯基)-[1,1':3',1'':3'', 1'''-四苯基]-4-,4'''-二羧酸4'',6'-Diamino-5',5''-Bis(4-Carboxyphenyl)-[1,1':3',1'':3'',1'''-Quaterphenyl]-4,4'''-Dicarboxylic Acid",/1834576-53-2分子式：C40H28N2O8分子量：664.65892,/1834576-53-2分子式：C40H28N2O8分子量：664.65892,1834576-53-2
"4,4'-dihydroxybiphenyl-3,3',5,5'-tetra(phenyl-4-carboxylic acid4,4'-dihydroxybiphenyl-3,3',5,5'-tetra(phenyl-4-carboxylic acid",/2143095-89-8分子式：C40H26O10分子量：666.62844,/2143095-89-8分子式：C40H26O10分子量：666.62844,2143095-89-8
"3,3',5,5'-四(4-羧苯基)-2,2',4,4',6,6'-六甲基-1,1'-联苯3,?3',?5,?5'-?tetrakis(4-?carboxyphenyl)?-?2,?2',?4,?4',?6,?6'-?hexamethyl-?1,?1'-?biphenyl",/868046-56-4分子式：C46H38O8分子量：718.78912,/868046-56-4分子式：C46H38O8分子量：718.78912,868046-56-4
"[1,1’:4’,1″]三联苯-3,3″,5,5″-四甲酸[1,1':4',1""]Terphenyl- 3,3"",5,5""-tetracarboxylic acid",/921619-89-8分子式：C22H14O8分子量：406.34176,/921619-89-8分子式：C22H14O8分子量：406.34176,921619-89-8
"2,5-二(3,5-二羧基苯基)吡啶5,?5'-?(2,?5-?pyridinediyl)?bis-1,?3-?Benzenedicarboxylic acid",/1431292-15-7分子式：C21H13NO8分子量：407.32982,/1431292-15-7分子式：C21H13NO8分子量：407.32982,1431292-15-7
2.5-di(3.5-dicarboxylhenyl)aniline2.5-di(3.5-dicarboxylhenyl)aniline,/1874200-71-1分子式：C22H15NO8分子量：421.3564,/1874200-71-1分子式：C22H15NO8分子量：421.3564,1874200-71-1
"2',5'-dimethyl-[1,1':4',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid2',5'-dimethyl-[1,1':4',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid",/1119195-98-0分子式：C24H18O8分子量：434.39492,/1119195-98-0分子式：C24H18O8分子量：434.39492,1119195-98-0
"2',5'-difluoro-[1,1':4',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid2',5'-difluoro-[1,1':4',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid",/1119195-97-9分子式：C22H12O8F2分子量：442.32268,/1119195-97-9分子式：C22H12O8F2分子量：442.32268,1119195-97-9
"2',3',5',6'-四甲基-[1,1':4',1'-三苯基]-3,3'',5,5'-四羧酸2',3',5',6'-tetramethyl-[1,1':4',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid",/1119195-99-1分子式：C26H22O8分子量：462.44808,/1119195-99-1分子式：C26H22O8分子量：462.44808,1119195-99-1
"[1,?1':4',?1''-?Terphenyl]?-?3,?3'',?5,?5''-?tetracarboxylic acid, 2',?3',?5',?6'-?tetrafluoro-[1,?1':4',?1''-?Terphenyl]?-?3,?3'',?5,?5''-?tetracarboxylic acid, 2',?3',?5',?6'-?tetrafluoro-",/1119196-00-7分子式：C22H10O8F4分子量：478.3036,/1119196-00-7分子式：C22H10O8F4分子量：478.3036,1119196-00-7
"四苯基-3,3'',5,5''-四羧酸quarterphenyl-?3,?3''',?5,?5'''-?tetracarboxylic acid",/921619-91-2分子式：C28H18O8分子量：482.43772,/921619-91-2分子式：C28H18O8分子量：482.43772,921619-91-2
